Date,What Shipped,Why It Mattered,Status,Source
"2026-06-29","Portfolio dashboard UX overhaul, agent isolation, and Telegram alerts","Created a usable operating surface and clearer separation between strategies.","Shipped","Vault dev log: 2026-06-29 Portfolio Dashboard"
"2026-06-30","Mac companion supervised execution path","Moved broker execution behind a structured, signed, deterministic companion flow.","Shipped","Vault dev log: 2026-06-30 Trade Execution via Mac Companion"
"2026-07-01","Research scans, proposals, and cash policy","Established scan-to-proposal flow and shared-cash behavior.","Shipped","Vault dev log: 2026-07-01 PM Scans, Proposals, Cash Policy"
"2026-07-01","Critical audit fixes","Closed duplicate-trade window, added signed approvals/fail-closed auth, and tightened sizing.","Shipped","Vault dev log: 2026-07-01 PM Full Audit + Critical Fixes"
"2026-07-05","System-maintenance autoresearch loop","Established advisory sysloop with FIXLIST as review surface; Jetson sentinel remains operational source of truth.","Shipped","Vault project note: portfolio-manager-sysloop"
"2026-07-06","Athena advisory adapter","Added an advisory dossier input to scans while preserving deterministic gates.","Shipped","Vault project note: portfolio-manager-athena"
"2026-07-10","Tri-audit and autonomy roadmap","Reset priorities around reliability, ownership, truthful status, and measurable promotion gates.","Completed","Vault project note: portfolio-manager-2026-07-10-tri-audit"
"2026-07-11","Contracts, ownership, and Neon dual-write","Added shared contracts, ownership enforcement, and financial shadow-store foundations.","Deployed","Vault dev log: 2026-07-11 PM Contracts, Ownership, Neon Dual-Write"
"2026-07-11","MCP read-sync migration and production smoke","Replaced unsupported unattended broker login with bounded Mac MCP reads; production smoke passed.","Deployed","docs/roadmaps/AUTONOMY-ROADMAP.md"
"2026-07-12","Trusted v3 mandates plus inert peer-scoring and EDGAR foundation","All four v3 mandates are trusted launch-candidate specifications. The deterministic free-data foundation implements their peer-relative/thin-peer requirements but remains inert until runtime integration and promotion gates are met.","Completed","agent_mandates/*_v3.md; docs/MANDATE-V2-INGESTION.md"
"2026-07-12","Meta-audit, graphify graph, and fund-path extension","Created an honest roadmap projection and structural project memory; no money-path changes.","Completed","Vault dev log: 2026-07-12 PM Meta-Audit, Graphify Graph, Fund Roadmap"
